,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
227,Pan African Institute For Development - West Africa (paid-wa),West Africa,Cameroon,https://www.paidafrica.org/paidwa,Full Member,"(13.531665, -2.4604145, 0.0)",13.531665,-2.4604145,0,POINT (-2.4604145 13.531665)
228,Pan African University,"Km 52 Lekki - Epe Expy, 105101, Lagos, Nigeria",Ethiopia,https://pau-au.net/en/,Full Member,"(6.4826541, 3.8553392, 0.0)",6.4826541,3.8553392,0,POINT (3.8553392 6.4826541)
229,Pan-atlantic University,"Km 52 Lekki - Epe Expy, 105101, Lagos, Nigeria",Nigeria,http://www.pau.edu.ng,Full Member,"(6.4826541, 3.8553392, 0.0)",6.4826541,3.8553392,0,POINT (3.8553392 6.4826541)
230,Pentecost University,"Pentecost University Street, Sowutoum, Ghana",Ghana,https://www.pentvars.edu.gh,Full Member,"(5.6263083, -0.2741013, 0.0)",5.6263083,-0.2741013,0,POINT (-0.2741013 5.6263083)
231,Pharos University,"Pharos University, Canal El Mahmoudia Street, beside، Green Plaza, Ezbet El-Nozha, Sidi Gaber, Alexandria Governorate 21648, Egypt",Egypt,https://www.pua.edu.eg/,Full Member,"(31.2058486, 29.9603027, 0.0)",31.2058486,29.9603027,0,POINT (29.9603027 31.2058486)
232,Pigier Côte D'ivoire,"Intersection du Boulevard Clozel et de l'Avenue Marchand, Abidjan, Côte d'Ivoire",Côte D'ivoire,https://www.pigierci.com,Full Member,"(5.3253778, -4.0201978, 0.0)",5.3253778,-4.0201978,0,POINT (-4.0201978 5.3253778)
233,Plasma University,"Military Academy, Mogadishu, Somalia",Somalia,https://plasmauniversity.net,Full Member,"(2.0501165, 45.300548, 0.0)",2.0501165,45.300548,0,POINT (45.300548 2.0501165)
234,Poma International Business University,,Benin,http://pomauniversity.com/,Full Member,"(6.677744,2.4134022,0.0)",6.677744,2.4134022,0,POINT (2.4134022 6.677744)
235,Presbyterian University College,"P. O. Box 59, Kwahu, Abetefi, Ghana",Ghana,http://www.presbyuniversity.edu.gh/,Full Member,"(6.676171399999999, -0.7447606999999999, 0.0)",6.6761714,-0.7447607,0,POINT (-0.7447606999999999 6.676171399999999)
236,Puntland State University,"CF4G+64Q, Garowe, Somalia",Somalia,https://puntlandstateuniversity.com,Associate Member,"(8.4055753, 48.4753693, 0.0)",8.4055753,48.4753693,0,POINT (48.4753693 8.4055753)
237,Radford University College,"Lagos Ave, Accra, Ghana",Ghana,http://www.radforduc.edu.gh,Associate Member,"(5.6379478, -0.1715661, 0.0)",5.6379478,-0.1715661,0,POINT (-0.1715661 5.6379478)
238,Red Sea University,"756W+24V, Bosaso, Somalia",Sudan,http://rsu.edu.sd,Full Member,"(11.2601222, 49.195284, 0.0)",11.2601222,49.195284,0,POINT (49.195284 11.2601222)
239,"Red Sea University, Somalia","756W+24V, Bosaso, Somalia",Somalia,https://rsu.edu.so/,Full Member,"(11.2601222, 49.195284, 0.0)",11.2601222,49.195284,0,POINT (49.195284 11.2601222)
240,"Redeemer's University (rccg, Run)","Gbongan Rd, 232101, Ede, Osun, Nigeria",Nigeria,https://run.edu.ng/,Full Member,"(7.680984, 4.4580597, 0.0)",7.680984,4.4580597,0,POINT (4.4580597 7.680984)
241,Regent University College Of Science And Technology,"Mallam, Ghana",Ghana,https://regent.edu.gh/,Full Member,"(5.5597458, -0.2970952, 0.0)",5.5597458,-0.2970952,0,POINT (-0.2970952 5.5597458)
242,Regional Maritime University,"Accra, Ghana",Ghana,http://www.rmu.edu.gh,Full Member,"(5.608514899999999, -0.0644747, 0.0)",5.6085149,-0.0644747,0,POINT (-0.0644747 5.608514899999999)
243,Rhodes University,"Drosty Rd, Grahamstown, Makhanda, 6139, South Africa",South Africa,http://www.ru.ac.za,Full Member,"(-33.3135911, 26.5163135, 0.0)",-33.3135911,26.5163135,0,POINT (26.5163135 -33.3135911)
244,Rivers State University Of Science & Technology,"Westend Old, Mgbuosimiri 500101, Port Harcourt, Rivers, Nigeria",Nigeria,https://www.rsu.edu.ng/,Full Member,"(4.806206599999999, 6.9864462, 0.0)",4.8062066,6.9864462,0,POINT (6.9864462 4.806206599999999)
